Obstacles | Instance | Algorithme | Temps (s) | Solution | Commandes
----------|----------|------------|-----------|----------|----------
       10 |        1 | BFS        | 0.037811 | 10       | G G a1 a3 a3 a3 D a1 a3 a3
       10 |        1 | Dijkstra   | 0.039523 | 10       | G G a3 a3 a3 a1 D a1 a3 a3
       10 |        1 | Bellman    | 0.343619 | 10       | D D a3 a3 a3 a1 D a1 a3 a3
       10 |        2 | BFS        | 0.022157 | 10       | a2 G a3 a3 a3 a3 a3 a3 G a3
       10 |        2 | Dijkstra   | 0.023942 | 10       | a2 G a3 a3 a3 a3 a3 a3 G a3
       10 |        2 | Bellman    | 0.293342 | 10       | a2 G a3 a3 a3 a3 a3 a3 G a3
       10 |        3 | BFS        | 0.029339 | 11       | G G a2 G a3 a3 D a3 a3 a3 a3
       10 |        3 | Dijkstra   | 0.034816 | 11       | D D a2 G a3 a3 D a3 a3 a3 a3
       10 |        3 | Bellman    | 0.334843 | 11       | D D a2 G a3 a3 D a3 a3 a3 a3
       10 |        4 | BFS        | 0.035994 | 11       | a1 D a1 a3 a3 a3 a3 a3 a3 G a1
       10 |        4 | Dijkstra   | 0.036295 | 11       | a1 D a3 a3 a3 a3 a3 a3 a1 G a1
       10 |        4 | Bellman    | 0.301780 | 11       | a1 D a3 a3 a3 a3 a3 a3 a1 G a1
       10 |        5 | BFS        | 0.017832 | 8        | a2 D a3 a3 D a3 a3 a3
       10 |        5 | Dijkstra   | 0.017811 | 8        | a2 D a3 a3 D a3 a3 a3
       10 |        5 | Bellman    | 0.228073 | 8        | a2 D a3 a3 D a3 a3 a3
       10 |        6 | BFS        | 0.026246 | 8        | a2 D a2 a3 a3 a3 D a1
       10 |        6 | Dijkstra   | 0.020253 | 8        | a3 D a3 a3 a3 a2 D a2
       10 |        6 | Bellman    | 0.364971 | 8        | a3 D a3 a3 a3 a2 D a2
       10 |        7 | BFS        | 0.000419 | 2        | G a2
       10 |        7 | Dijkstra   | 0.001263 | 2        | G a2
       10 |        7 | Bellman    | 0.384954 | 2        | G a2
       10 |        8 | BFS        | 0.053611 | 16       | D a2 a3 a3 a3 a3 a3 a3 D a1 a3 a3 a3 a3 a3 a3
       10 |        8 | Dijkstra   | 0.047906 | 16       | D a2 a3 a3 a3 a3 a3 a3 D a1 a3 a3 a3 a3 a3 a3
       10 |        8 | Bellman    | 0.117660 | 16       | D a2 a3 a3 a3 a3 a3 a3 D a1 a3 a3 a3 a3 a3 a3
       10 |        9 | BFS        | 0.017036 | 6        | D a1 a3 a3 D a1
       10 |        9 | Dijkstra   | 0.019049 | 6        | D a3 a3 a1 D a1
       10 |        9 | Bellman    | 0.310511 | 6        | D a3 a3 a1 D a1
       10 |       10 | BFS        | 0.039296 | 12       | G a2 D a1 a3 a3 a3 G a3 a3 a3 a3
       10 |       10 | Dijkstra   | 0.031819 | 12       | G a2 D a1 a3 a3 a3 G a3 a3 a3 a3
       10 |       10 | Bellman    | 0.251763 | 12       | G a2 D a1 a3 a3 a3 G a3 a3 a3 a3
       20 |       11 | BFS        | 0.010609 | 6        | G a2 a3 a3 G a3
       20 |       11 | Dijkstra   | 0.010057 | 6        | G a2 a3 a3 G a3
       20 |       11 | Bellman    | 0.317041 | 6        | G a2 a3 a3 G a3
       20 |       12 | BFS        | 0.021757 | 8        | G G a2 D a1 a3 a3 a3
       20 |       12 | Dijkstra   | 0.025344 | 8        | G a3 a3 G a2 D a3 a1
       20 |       12 | Bellman    | 0.403078 | 8        | D D a2 D a3 a3 a3 a1
       20 |       13 | BFS        | 0.008158 | 6        | G a1 G a2 a3 a3
       20 |       13 | Dijkstra   | 0.009179 | 6        | G a1 G a3 a3 a2
       20 |       13 | Bellman    | 0.250656 | 6        | G a1 G a3 a3 a2
       20 |       14 | BFS        | 0.000118 | 2        | G a1
       20 |       14 | Dijkstra   | 0.000440 | 2        | G a1
       20 |       14 | Bellman    | 0.302327 | 2        | G a1
       20 |       15 | BFS        | 0.003637 | 9        | D a2 G a1 a3 a3 a3 G a1
       20 |       15 | Dijkstra   | 0.005950 | 9        | D a2 G a3 a3 a3 a1 G a1
       20 |       15 | Bellman    | 0.395444 | 9        | D a2 G a3 a3 a3 a1 G a1
       20 |       16 | BFS        | 0.031296 | 10       | D a2 a3 D a2 a3 a3 D a1 a3
       20 |       16 | Dijkstra   | 0.033831 | 10       | D a2 a3 D a3 a3 a2 D a3 a1
       20 |       16 | Bellman    | 0.370183 | 10       | D a2 a3 D a3 a3 a2 D a3 a1
       20 |       17 | BFS        | 0.000944 | 3        | D a1 a3
       20 |       17 | Dijkstra   | 0.000784 | 3        | D a3 a1
       20 |       17 | Bellman    | 0.362702 | 3        | D a3 a1
       20 |       18 | BFS        | 0.003246 | 4        | a1 a3 G a1
       20 |       18 | Dijkstra   | 0.004078 | 4        | a1 a3 G a1
       20 |       18 | Bellman    | 0.306947 | 4        | a1 a3 G a1
       20 |       19 | BFS        | 0.019589 | 9        | a2 a3 G a1 a3 a3 a3 D a2
       20 |       19 | Dijkstra   | 0.020597 | 9        | a2 a3 G a3 a3 a3 a1 D a2
       20 |       19 | Bellman    | 0.395989 | 9        | a2 a3 G a3 a3 a3 a1 D a2
       20 |       20 | BFS        | 0.018989 | 7        | D a1 D a2 a3 a3 a3
       20 |       20 | Dijkstra   | 0.018621 | 7        | D a1 D a3 a3 a3 a2
       20 |       20 | Bellman    | 0.410550 | 7        | D a1 D a3 a3 a3 a2
       30 |       21 | BFS        | 0.028804 | 16       | G a2 G a3 a3 G a1 a3 a3 D a3 a3 a3 a3 G a2
       30 |       21 | Dijkstra   | 0.031050 | 16       | G a2 G a3 a3 a3 G a3 a3 a1 D a3 a3 a3 G a2
       30 |       21 | Bellman    | 0.347469 | 16       | G a2 G a3 a3 a3 G a3 a3 a1 D a3 a3 a3 G a2
       30 |       22 | BFS        | 0.028009 | 9        | a2 a3 a3 D a2 a3 a3 a3 a3
       30 |       22 | Dijkstra   | 0.031612 | 9        | a2 a3 a3 D a3 a3 a3 a3 a2
       30 |       22 | Bellman    | 0.413073 | 9        | a2 a3 a3 D a3 a3 a3 a3 a2
       30 |       23 | BFS        | 0.018821 | 10       | G G a1 D a3 a3 a3 a3 G a3
       30 |       23 | Dijkstra   | 0.024775 | 10       | a2 G a3 a3 a3 G a3 a3 D a3
       30 |       23 | Bellman    | 0.302095 | 10       | a2 G a3 a3 a3 G a3 a3 D a3
       30 |       24 | BFS        | 0.015208 | 9        | G G a3 G a1 a3 a3 D a3
       30 |       24 | Dijkstra   | 0.016462 | 9        | D D a3 G a3 a3 a1 D a3
       30 |       24 | Bellman    | 0.423598 | 9        | D D a3 G a3 a3 a1 D a3
       30 |       25 | BFS        | 0.004616 | 5        | D a3 D a2 a3
       30 |       25 | Dijkstra   | 0.004923 | 5        | D a3 D a2 a3
       30 |       25 | Bellman    | 0.313415 | 5        | D a3 D a2 a3
       30 |       26 | BFS        | 0.041589 | 16       | G a3 D a2 a3 G a2 a3 D a2 G a3 a3 a3 D a3
       30 |       26 | Dijkstra   | 0.049154 | 16       | G a3 D a2 a3 G a2 a3 D a2 G a3 a3 a3 D a3
       30 |       26 | Bellman    | 0.316932 | 16       | G a3 D a2 a3 G a2 a3 D a2 G a3 a3 a3 D a3
       30 |       27 | BFS        | 0.006741 | 7        | D a1 D a2 a3 D a3
       30 |       27 | Dijkstra   | 0.007323 | 7        | D a1 D a3 a2 D a3
       30 |       27 | Bellman    | 0.416385 | 7        | D a1 D a3 a2 D a3
       30 |       28 | BFS        | 0.017737 | 12       | G a1 a3 D a1 a3 D a1 G a2 D a3
       30 |       28 | Dijkstra   | 0.017582 | 12       | G a1 a3 D a1 a3 D a2 G a2 D a2
       30 |       28 | Bellman    | 0.224326 | 12       | G a1 a3 D a1 a3 D a2 G a2 D a2
       30 |       29 | BFS        | 0.027400 | 13       | a3 G a1 a3 G a1 D a2 G a1 D a3 a3
       30 |       29 | Dijkstra   | 0.028202 | 13       | a3 G a1 a3 G a1 D a2 G a1 D a3 a3
       30 |       29 | Bellman    | 0.327087 | 13       | a3 G a1 a3 G a1 D a2 G a1 D a3 a3
       30 |       30 | BFS        | 0.010139 | 6        | a3 G a3 a3 G a3
       30 |       30 | Dijkstra   | 0.011594 | 6        | a3 G a3 a3 G a3
       30 |       30 | Bellman    | 0.295933 | 6        | a3 G a3 a3 G a3
       40 |       31 | BFS        | 0.031868 | -1       | Aucun chemin
       40 |       31 | Dijkstra   | 0.036132 | -1       | Aucun chemin
