Taille | Instance | Algorithme | Temps (s) | Solution | Commandes
-------|----------|------------|-----------|----------|----------
    10 |        1 | BFS        | 0.002717 | 7        | a1 a3 a3 a3 G a1 a3
    10 |        1 | Dijkstra   | 0.002727 | 7        | a3 a3 a3 a1 G a3 a1
    10 |        1 | Bellman    | 0.017939 | 7        | a3 a3 a3 a1 G a3 a1
    10 |        2 | BFS        | 0.001741 | 8        | D a2 D a2 a3 G a3 a3
    10 |        2 | Dijkstra   | 0.002010 | 8        | D a2 D a3 a2 G a3 a3
    10 |        2 | Bellman    | 0.010393 | 8        | D a2 D a3 a2 G a3 a3
    10 |        3 | BFS        | 0.001882 | 10       | D a1 a3 a3 D a3 G a2 D a2
    10 |        3 | Dijkstra   | 0.002153 | 10       | D a1 a3 a3 D a3 G a2 D a2
    10 |        3 | Bellman    | 0.009703 | 10       | D a1 a3 a3 D a3 G a2 D a2
    10 |        4 | BFS        | 0.000882 | 5        | D a2 G a3 a3
    10 |        4 | Dijkstra   | 0.001034 | 5        | D a2 G a3 a3
    10 |        4 | Bellman    | 0.015636 | 5        | D a2 G a3 a3
    10 |        5 | BFS        | 0.000392 | 6        | G G a3 D a3 a3
    10 |        5 | Dijkstra   | 0.000465 | 6        | D D a3 D a3 a3
    10 |        5 | Bellman    | 0.005515 | 6        | D D a3 D a3 a3
    10 |        6 | BFS        | 0.000534 | 5        | G a2 G a3 a3
    10 |        6 | Dijkstra   | 0.000809 | 5        | G a2 G a3 a3
    10 |        6 | Bellman    | 0.006091 | 5        | G a2 G a3 a3
    10 |        7 | BFS        | 0.001228 | 15       | D a3 D a2 a3 D a2 G a1 D a3 a3 D a3 a3
    10 |        7 | Dijkstra   | 0.001514 | 15       | D a3 D a3 a2 D a2 G a1 D a3 a3 D a3 a3
    10 |        7 | Bellman    | 0.008812 | 15       | D a3 D a3 a2 D a2 G a1 D a3 a3 D a3 a3
    10 |        8 | BFS        | 0.000139 | 3        | a1 G a2
    10 |        8 | Dijkstra   | 0.000123 | 3        | a1 G a2
    10 |        8 | Bellman    | 0.007224 | 3        | a1 G a2
    10 |        9 | BFS        | 0.001157 | 9        | D a1 a3 G a3 a3 a3 D a3
    10 |        9 | Dijkstra   | 0.001366 | 9        | D a1 a3 G a3 a3 a3 D a3
    10 |        9 | Bellman    | 0.009415 | 9        | D a1 a3 G a3 a3 a3 D a3
    10 |       10 | BFS        | 0.000040 | 2        | G a1
    10 |       10 | Dijkstra   | 0.000058 | 2        | G a1
    10 |       10 | Bellman    | 0.008812 | 2        | G a1
    20 |       11 | BFS        | 0.004995 | 11       | a1 D a1 a3 a3 a3 D a2 a3 G a2
    20 |       11 | Dijkstra   | 0.005522 | 11       | a2 D a3 a3 a3 a2 D a3 a3 G a1
    20 |       11 | Bellman    | 0.056102 | 11       | a2 D a3 a3 a3 a2 D a3 a3 G a1
    20 |       12 | BFS        | 0.000291 | 4        | G G a1 a3
    20 |       12 | Dijkstra   | 0.000456 | 4        | G G a3 a1
    20 |       12 | Bellman    | 0.042206 | 4        | D D a3 a1
    20 |       13 | BFS        | 0.002571 | 6        | D a1 a3 G a3 a3
    20 |       13 | Dijkstra   | 0.003012 | 6        | D a1 a3 G a3 a3
    20 |       13 | Bellman    | 0.063225 | 6        | D a1 a3 G a3 a3
    20 |       14 | BFS        | 0.006459 | 11       | D a2 a3 G a3 a3 a3 D a3 G a3
    20 |       14 | Dijkstra   | 0.007180 | 11       | a3 a3 D a3 a3 G a3 D a2 G a3
    20 |       14 | Bellman    | 0.077805 | 11       | D a3 a3 G a3 a3 a3 D a2 G a3
    20 |       15 | BFS        | 0.004154 | 8        | G a2 a3 G a2 a3 D a2
    20 |       15 | Dijkstra   | 0.004735 | 8        | G a3 a2 G a2 a3 D a2
    20 |       15 | Bellman    | 0.074290 | 8        | G a3 a2 G a2 a3 D a2
    20 |       16 | BFS        | 0.001955 | 6        | G a1 a3 G a3 a3
    20 |       16 | Dijkstra   | 0.001898 | 6        | G a1 a3 G a3 a3
    20 |       16 | Bellman    | 0.067899 | 6        | G a1 a3 G a3 a3
    20 |       17 | BFS        | 0.002688 | 7        | D a3 D a2 a3 a3 a3
    20 |       17 | Dijkstra   | 0.003379 | 7        | D a3 D a2 a3 a3 a3
    20 |       17 | Bellman    | 0.065713 | 7        | D a3 D a2 a3 a3 a3
    20 |       18 | BFS        | 0.004517 | 9        | G a1 a3 D a2 a3 a3 G a2
    20 |       18 | Dijkstra   | 0.005668 | 9        | G a3 a2 D a2 a3 a3 G a1
    20 |       18 | Bellman    | 0.076807 | 9        | G a3 a2 D a2 a3 a3 G a1
    20 |       19 | BFS        | 0.001562 | 7        | a1 D a1 a3 D a1 a3
    20 |       19 | Dijkstra   | 0.001778 | 7        | a1 D a1 a3 D a3 a1
    20 |       19 | Bellman    | 0.063843 | 7        | a1 D a1 a3 D a3 a1
    20 |       20 | BFS        | 0.001410 | 6        | G a1 D a2 a3 a3
    20 |       20 | Dijkstra   | 0.002338 | 6        | G a1 D a2 a3 a3
    20 |       20 | Bellman    | 0.073211 | 6        | G a1 D a2 a3 a3
    30 |       21 | BFS        | 0.011752 | 11       | D a1 D a3 a3 a3 D a2 G a3 a3
    30 |       21 | Dijkstra   | 0.015251 | 11       | D a1 D a3 a3 a3 D a2 G a3 a3
    30 |       21 | Bellman    | 0.151385 | 11       | D a1 D a3 a3 a3 D a2 G a3 a3
    30 |       22 | BFS        | 0.000274 | 4        | G a2 G a1
    30 |       22 | Dijkstra   | 0.000426 | 4        | G a2 G a1
    30 |       22 | Bellman    | 0.194824 | 4        | G a2 G a1
    30 |       23 | BFS        | 0.010543 | 13       | G a1 a3 G a1 a3 a3 a3 a3 D a3 a3 a3
    30 |       23 | Dijkstra   | 0.013718 | 13       | G a3 a3 a3 a3 G a3 a3 a3 a3 a1 D a1
    30 |       23 | Bellman    | 0.232417 | 13       | G a3 a3 a3 a3 G a3 a3 a3 a3 a1 D a1
    30 |       24 | BFS        | 0.017611 | 16       | G G a2 G a3 a3 a3 a3 a3 a3 a3 D a3 a3 a3 a3
    30 |       24 | Dijkstra   | 0.020922 | 16       | G G a3 G a3 a3 a3 a3 a3 a3 a3 D a3 a3 a3 a2
    30 |       24 | Bellman    | 0.189488 | 16       | D D a3 G a3 a3 a3 a3 a3 a3 a3 D a3 a3 a3 a2
    30 |       25 | BFS        | 0.017166 | 18       | D a1 G a3 a3 a3 a3 a3 D a3 a3 a3 a3 a3 G a3 a3 a3
