Category,Cycle ID,Quantity,Basket ID
Carrot,332,1,1
Carrot,35,1,1
Carrot,32,4,1
Carrot,327,1,1
Carrot,334,1,1
Carrot,894,1,1
Carrot,27,1,1
Carrot,29,1,1
Carrot,897,1,1
Carrot,609,1,1
Carrot,31,1,1
Condiment crop,296,2,1
Condiment crop,297,2,1
Condiment crop,753,1,1
Condiment crop,763,1,1
Condiment crop,964,1,1
Condiment crop,1051,1,1
Condiment crop,173,1,1
Condiment crop,8,1,1
Condiment crop,584,1,1
Condiment crop,181,1,1
Condiment crop,176,2,1
Condiment crop,175,1,1
Condiment crop,496,1,1
Condiment crop,184,1,1
Condiment crop,493,1,1
Condiment crop,867,1,1
Condiment crop,185,2,1
Condiment crop,761,1,1
Condiment crop,301,2,1
Condiment crop,178,1,1
Condiment crop,863,1,1
Condiment crop,580,1,1
Condiment crop,759,1,1
Condiment crop,963,1,1
Condiment crop,179,1,1
Condiment crop,758,1,1
Condiment crop,491,1,1
Condiment crop,399,1,1
Condiment crop,962,1,1
Condiment crop,583,1,1
Condiment crop,7,1,1
Cooked green,978,1,1
Cooked green,354,1,1
Cooked green,638,1,1
Cooked green,320,1,1
Cooked green,68,1,1
Cooked green,653,1,1
Cooked green,319,1,1
Cooked green,631,3,1
Cooked green,917,1,1
Cooked green,977,1,1
Cooked green,369,1,1
Cooked green,639,1,1
Cooked green,15,1,1
Cooked green,324,1,1
Cooked green,16,1,1
Cooked green,872,2,1
Cooked green,119,1,1
Cooked green,419,1,1
Cooked green,107,1,1
Cooked green,43,1,1
Cooked green,373,1,1
Cooked green,984,1,1
Cooked green,936,1,1
Cooked green,306,1,1
Cooked green,1056,1,1
Cooked green,14,1,1
Cooked green,120,1,1
Cooked green,356,1,1
Cooked green,939,1,1
Cooked green,360,1,1
Cooked green,593,1,1
Cooked green,616,1,1
Cooked green,364,1,1
Fruit crop,391,4,1
Fruit crop,428,2,1
Fruit crop,426,1,1
Fruit crop,510,2,1
Fruit crop,455,1,1
Fruit crop,990,2,1
Fruit crop,1070,2,1
Fruit crop,782,1,1
Fruit crop,776,1,1
Fruit crop,394,4,1
Fruit crop,128,2,1
Fruit crop,659,4,1
Fruit crop,390,2,1
Fruit crop,129,2,1
Fruit crop,986,1,1
Fruit crop,77,5,1
Fruit crop,870,2,1
Fruit crop,211,2,1
Fruit crop,711,2,1
Fruit crop,666,4,1
Fruit crop,1064,1,1
Fruit crop,985,1,1
Fruit crop,662,2,1
Fruit crop,511,2,1
Fruit crop,389,1,1
Fruit crop,207,2,1
Fruit crop,11,2,1
Fruit crop,998,2,1
Fruit crop,712,2,1
Fruit crop,942,4,1
Fruit crop,992,2,1
Fruit crop,208,1,1
Fruit crop,991,3,1
Fruit crop,396,4,1
Fruit crop,121,1,1
Fruit crop,947,4,1
Fruit crop,135,2,1
Fruit crop,710,2,1
Fruit crop,788,2,1
Fruit crop,706,2,1
Fruit crop,958,5,1
Fruit crop,590,2,1
Fruit crop,85,4,1
Fruit crop,961,4,1
Fruit crop,789,2,1
Fruit crop,1066,1,1
Potato,519,1,1
Potato,525,1,1
Potato,1076,2,1
Potato,523,3,1
Potato,219,1,1
Potato,791,1,1
Potato,522,1,1
Raw green,437,1,1
Raw green,148,1,1
Raw green,722,1,1
Raw green,254,1,1
Raw green,441,1,1
Raw green,1022,1,1
Raw green,727,1,1
Raw green,833,1,1
Raw green,817,1,1
Raw green,451,1,1
Raw green,845,1,1
Raw green,558,1,1
Raw green,153,1,1
Raw green,831,1,1
Raw green,1031,1,1
Raw green,1113,1,1
Raw green,1114,1,1
Raw green,1110,1,1
Raw green,272,1,1
Raw green,913,1,1
Raw green,141,1,1
Raw green,151,1,1
Raw green,731,2,1
Raw green,473,1,1
Raw green,548,1,1
Raw green,847,1,1
Raw green,1105,1,1
Raw green,545,1,1
Raw green,267,1,1
Raw green,550,1,1
Raw green,466,1,1
Raw green,459,1,1
Raw green,1020,1,1
Raw green,1103,1,1
Raw green,159,1,1
Raw green,843,1,1
Raw green,140,1,1
Raw green,1109,1,1
Raw green,444,1,1
Raw green,826,1,1
Raw green,1023,1,1
Raw green,620,1,1
Raw green,249,1,1
Raw green,42,1,1
Raw green,468,1,1
Root crop,596,2,1
Root crop,241,1,1
Root crop,1093,1,1
Root crop,1094,1,1
Root crop,813,1,1
Root crop,239,1,1
Root crop,797,1,1
Root crop,343,1,1
Root crop,1036,1,1
Root crop,746,1,1
Root crop,796,1,1
Root crop,162,1,1
Root crop,243,1,1
Root crop,163,1,1
Root crop,527,1,1
Root crop,1079,1,1
Root crop,222,1,1
Root crop,480,1,1
Tomato,1118,2,1
Tomato,1129,3,1
Tomato,288,1,1
Tomato,291,1,1
Tomato,282,2,1
Tomato,861,3,1
Tomato,290,1,1
Tomato,1123,1,1
Tomato,579,1,1
Tomato,1127,1,1
Tomato,285,1,1
Tomato,573,1,1
Tomato,1124,1,1
Tomato,852,1,1
Carrot,332,2,2
Carrot,610,1,2
Carrot,607,3,2
Carrot,328,1,2
Carrot,613,1,2
Carrot,899,1,2
Carrot,329,1,2
Carrot,335,1,2
Carrot,35,1,2
Carrot,606,1,2
Carrot,896,1,2
Condiment crop,749,1,2
Condiment crop,301,1,2
Condiment crop,3,1,2
Condiment crop,1047,1,2
Condiment crop,962,1,2
Condiment crop,1048,1,2
Condiment crop,2,1,2
Condiment crop,4,2,2
Condiment crop,586,1,2
Condiment crop,293,1,2
Condiment crop,580,1,2
Condiment crop,183,1,2
Condiment crop,489,2,2
Condiment crop,5,2,2
Condiment crop,7,1,2
Condiment crop,174,1,2
Condiment crop,490,2,2
Condiment crop,188,1,2
Condiment crop,182,1,2
Condiment crop,175,2,2
Condiment crop,755,1,2
Condiment crop,668,1,2
Condiment crop,588,1,2
Condiment crop,763,1,2
Condiment crop,297,1,2
Condiment crop,761,1,2
Condiment crop,757,1,2
Condiment crop,750,1,2
Condiment crop,296,2,2
Condiment crop,753,1,2
Cooked green,918,1,2
Cooked green,308,2,2
Cooked green,115,1,2
Cooked green,322,1,2
Cooked green,767,1,2
Cooked green,15,1,2
Cooked green,905,1,2
Cooked green,107,1,2
Cooked green,649,1,2
Cooked green,103,1,2
Cooked green,352,1,2
Cooked green,74,1,2
Cooked green,923,1,2
Cooked green,692,1,2
Cooked green,45,1,2
Cooked green,876,1,2
Cooked green,927,1,2
Cooked green,673,1,2
Cooked green,106,1,2
Cooked green,770,1,2
Cooked green,622,1,2
Cooked green,684,1,2
Cooked green,500,1,2
Cooked green,372,1,2
Cooked green,66,1,2
Cooked green,969,1,2
Cooked green,604,1,2
Cooked green,644,1,2
Cooked green,98,1,2
Cooked green,421,1,2
Cooked green,67,1,2
Cooked green,112,1,2
Cooked green,615,1,2
Cooked green,371,1,2
Cooked green,319,1,2
Fruit crop,956,4,2
Fruit crop,77,4,2
Fruit crop,454,1,2
Fruit crop,1064,1,2
Fruit crop,199,1,2
Fruit crop,1065,1,2
Fruit crop,780,1,2
Fruit crop,661,1,2
Fruit crop,395,5,2
Fruit crop,201,1,2
Fruit crop,423,1,2
Fruit crop,992,2,2
Fruit crop,1015,1,2
Fruit crop,123,1,2
Fruit crop,789,2,2
Fruit crop,955,5,2
Fruit crop,200,2,2
Fruit crop,509,1,2
Fruit crop,989,2,2
Fruit crop,942,4,2
Fruit crop,778,1,2
Fruit crop,208,1,2
Fruit crop,206,1,2
Fruit crop,703,4,2
Fruit crop,122,1,2
Fruit crop,388,2,2
Fruit crop,961,4,2
Fruit crop,10,2,2
Fruit crop,78,4,2
Fruit crop,952,1,2
Fruit crop,453,1,2
Fruit crop,121,1,2
Fruit crop,943,4,2
Fruit crop,776,1,2
Fruit crop,382,4,2
Fruit crop,510,2,2
Fruit crop,1063,2,2
Fruit crop,429,2,2
Fruit crop,135,2,2
Fruit crop,782,1,2
Fruit crop,777,1,2
Fruit crop,130,2,2
Fruit crop,700,1,2
Fruit crop,1018,1,2
Fruit crop,392,4,2
Potato,217,1,2
Potato,218,1,2
Potato,522,2,2
Potato,219,2,2
Potato,521,1,2
Potato,525,1,2
Potato,517,1,2
Potato,791,1,2
Raw green,1113,1,2
Raw green,1102,1,2
Raw green,735,1,2
Raw green,1023,1,2
Raw green,41,1,2
Raw green,158,3,2
Raw green,548,1,2
Raw green,266,1,2
Raw green,262,1,2
Raw green,556,1,2
Raw green,466,1,2
Raw green,564,2,2
Raw green,562,1,2
Raw green,1100,1,2
Raw green,153,2,2
Raw green,270,1,2
Raw green,731,1,2
Raw green,259,1,2
Raw green,720,1,2
Raw green,445,1,2
Raw green,820,1,2
Raw green,145,2,2
Raw green,441,1,2
Raw green,848,1,2
Raw green,136,1,2
Raw green,552,2,2
Raw green,1027,1,2
Raw green,349,1,2
Raw green,545,1,2
Raw green,277,2,2
Raw green,850,1,2
Raw green,440,1,2
Raw green,827,1,2
Raw green,823,1,2
Raw green,247,1,2
Raw green,829,1,2
Raw green,444,1,2
Raw green,825,1,2
Raw green,449,1,2
Root crop,794,2,2
Root crop,19,1,2
Root crop,600,1,2
Root crop,311,1,2
Root crop,884,1,2
Root crop,166,2,2
Root crop,804,1,2
Root crop,229,1,2
Root crop,880,1,2
Root crop,22,1,2
Root crop,171,1,2
Root crop,477,1,2
Root crop,343,1,2
Root crop,245,1,2
Root crop,479,1,2
Root crop,1035,1,2
Root crop,243,1,2
Tomato,1122,1,2
Tomato,290,1,2
Tomato,569,2,2
Tomato,575,2,2
Tomato,573,1,2
Tomato,852,2,2
Tomato,1127,2,2
Tomato,861,1,2
Tomato,285,1,2
Tomato,577,1,2
Tomato,860,1,2
Tomato,1121,1,2
Tomato,283,1,2
Tomato,576,2,2
Tomato,1128,1,2
Carrot,329,1,3
Carrot,607,2,3
Carrot,331,2,3
Carrot,328,1,3
Carrot,613,1,3
Carrot,896,1,3
Carrot,35,1,3
Carrot,29,1,3
Carrot,32,1,3
Carrot,611,1,3
Carrot,606,1,3
Carrot,614,1,3
Condiment crop,488,1,3
Condiment crop,6,1,3
Condiment crop,185,1,3
Condiment crop,760,1,3
Condiment crop,487,1,3
Condiment crop,868,2,3
Condiment crop,2,1,3
Condiment crop,757,1,3
Condiment crop,301,1,3
Condiment crop,295,2,3
Condiment crop,179,1,3
Condiment crop,174,2,3
Condiment crop,751,1,3
Condiment crop,580,1,3
Condiment crop,864,1,3
Condiment crop,292,1,3
Condiment crop,753,5,3
Condiment crop,181,2,3
Condiment crop,862,1,3
Condiment crop,184,2,3
Condiment crop,1047,1,3
Condiment crop,581,1,3
Condiment crop,588,1,3
Condiment crop,293,1,3
Condiment crop,3,1,3
Condiment crop,865,1,3
Condiment crop,5,1,3
Cooked green,693,1,3
Cooked green,189,1,3
Cooked green,924,1,3
Cooked green,59,1,3
Cooked green,110,1,3
Cooked green,694,1,3
Cooked green,969,1,3
Cooked green,360,2,3
Cooked green,591,1,3
Cooked green,642,1,3
Cooked green,941,1,3
Cooked green,500,1,3
Cooked green,111,2,3
