Rider,jaune,vert,pois,jeune,comba
Philipsen Jasper,,,,,
Groves Kaden,,12,,,
Poel Mathieu,,,,,
Rickaert Jonas,,,,,
Meurisse Xandro,,,,,
Vermeersch Gianni,,,,,
Verstrynge Emiel,,,,4,
Dillier Silvan,,,,,
Vauquelin Kévin,18,4,,18,
Capiot Amaury,,,,,
Démare Arnaud,,,,,
Venturini Clément,,,,,
Le Berre Mathis,,,,5,
Rodr Cristi,1,,,,
Garc Pierna Ra,,,,16,
Costiou Ewen,,,,9,
Stannard Robert,,,,,
Bauhaus Phil,,,,,
Buitrago Santiago,,,1,,
Haig Jack,,,,,
Wright Fred,,,,,
Mohori Matej,,,,,
Gradek Kamil,,,,,
Martinez Lenny,,,18,2,
Touzé Damien,,,,,
Coquard Bryan,,,,,
Buchmann Emanuel,,,,,
Renard Alexis,,,,,
Aranburu Alex,,,,,
Teuns Dylan,,,,,
Izagirre Ion,,,,,
Thomas Benjamin,,,,,
Berthet Clément,,,,,
Paret- Peintre Aurélien,,,,,
Naesen Oliver,,,,,
Gall Felix,22,,14,,
Tronchon Bastien,,,,2,
Scotson Callum,,,,,
Armirail Bruno,,,7,,
Bissegger Stefan,,,,,
Sweeny Harry,,,,,
Asgreen Kasper,,,,,
Powless Neilson,,,,,
Healy Ben,14,7,10,17,10
Valgren Michael,,,,,
Albanese Vincenzo,,,,,
Baudin Alex,,,,11,
Berg Marijn,,,,,
Russo Clément,,,,,
Penho Paul,,,,,
Barthe Cyril,,,,,
Madouas Valentin,,,,,
Martin Guillaume,5,,,,
Pacher Quentin,,,,,
Grégoire Romain,,,,14,
Askey Lewis,,,,,
Watson Samuel,,,,,
Rodr Carlos,,,,,
Swift Connor,,,,,
Thomas Geraint,,,,,
Foss Tobias,,,,,
Arensman Thymen,9,3,17,,
Laurance Axel,,,,8,
Ganna Filippo,,,,,
Girmay Biniam,,18,,,
Page Hugo,,,,,
Braet Vito,,,,,
Rutsch Jonas,,,,,
Zimmermann Georg,,,,,
Rex Laurenz,,,,,
Sintmaartensdijk Roel,,,,,
Barré Louis,,,,,
Neilands Krists,,,,,
Ackermann Pascal,,,,,
Blackmore Joseph,,,,10,
Boivin Guillaume,,,,,
Louvel Matis,,,,,
Stewart Jake,,,,,
Lutsenko Alexey,,,,,
Woods Michael,,,11,,
Stuyven Jasper,,,,,
Milan Jonathan,,30,,,
Skjelmose Mattias,,,,,
Skuji Toms,,,,,
Theuns Edward,,,,,
Consonni Simone,,,,,
Simmons Quinn,,11,,7,
Nys Thibau,,,,,
De Lie Arnaud,,10,,,
De Buyst Jasper,,,,,
Van Eetvelt Lennert,,,,,
Berckmoes Jenno,,,,3,
Van Moer Brent,,,,,
Drizners Jarrad,,,,,
Grignard Sébastien,,,,,
Sep Eduardo,,,,,
Garc Cortina Iv,,,,,
Mas Enric,,,,,
Oliveira Nelson,,,,,
Mühlberger Gregor,3,,,,
Rubio Einer,,,9,,
Castrillo Pablo,,,,,
Romeo Iv,,,,,
Barta Will,,,,,
Meeus Jordi,,,,,
Poppel Danny,,,,,
Lipowitz Florian,30,5,8,30,
Rogli Primo,16,,13,,
Vlasov Aleksandr,,,2,,
Pithie Laurence,,,,,
Moscon Gianni,,,,,
Dijke Mick,,,,,
Merlier Tim,,14,,,
Evenepoel Remco,,,,,
Van Wilder Ilan,,,,15,
Eenkhoorn Pascal,,,,,
Van Lerberghe Bert,,,,,
Cattaneo Mattia,,,,,
Paret- Peintre Valentin,,,15,12,
Schachmann Maximilian,,,,,
Mezgec Luka,,,,,
Groenewegen Dylan,,,,,
Reinders Elmar,,,,,
Dunbar Eddie,,,,,
Connor Ben,10,,16,,
Schmid Mauro,,,,,
Durbridge Luke,,,,,
Plapp Luke,,,,,
Märkl Niklas,,,,,
Bittner Pavel,,,,,
Andresen Tobias Lund,,,,,
Onley Oscar,25,9,12,20,
Flynn Sean,,,,,
Barguil Warren,,,,,
Broek Frank,,,,13,
Naberman Tim,,,,,
Turgis Anthony,,16,,,
Jegat Jordan,12,,,,
Gachignard Thomas,,,,6,
Cras Steff,,,,,
Delettre Alexandre,,,,,
Jeannière Emilien,,,,,
Burgaudeau Mathieu,,,,,
Vercher Mattéo,,,,,
Jorgenson Matteo,2,8,6,,
Vingegaard Jonas,40,17,20,,
Benoot Tiesj,,,,,
Affini Edoardo,,,,,
Aert Wout,,13,,,
Campenaerts Victor,,,,,
Kuss Sepp,4,,,,
Yates Simon,6,,,,
Trentin Matteo,,,,,
Mayrhofer Marius,,,,,
Haller Marco,,,,,
Dainese Alberto,,,,,
Lienhard Fabian,,,,,
Hirschi Marc,,,,,
Storer Michael,,,5,,
Alaphilippe Julian,,1,,,
Poga Tadej,60,20,30,,
Wellens Tim,,6,3,,
Almeida Jo,,,,,
Narv Jhonatan,8,,,,
Soler Marc,,,,,
Politt Nils,,,,,
Sivakov Pavel,,,,,
Yates Adam,,,,,
Wærenskjold Søren,,,,,
Fredheim Stian,,,,,
Johannessen Tobias Halland,20,,4,,
Abrahamsen Jonas,,15,,,
Hoelgaard Markus,,,,,
Cort Magnus,,,,,
Leknessund Andreas,,,,,
Johannessen Anders Halland,,,,,
Teunissen Mike,,,,,
Ballerini Davide,,,,,
Tejada Harold,,,,,
Higuita Sergio,7,,,,
Champoussin Clément,,,,,
Velasco Simone,,2,,,
Fedorov Yevgeniy,,,,,
Bol Cees,,,,,
