Jaune,Vert,Pois,Blanc,Combatif1,Combatif2
Philipsen Jasper,Philipsen Jasper,Thomas Benjamin,Girmay Biniam,Vercher Mattéo,
Poel Mathieu,Philipsen Jasper,Poga Tadej,Vauquelin Kévin,Armirail Bruno,
Poel Mathieu,Milan Jonathan,Wellens Tim,Vauquelin Kévin,,
Poel Mathieu,Milan Jonathan,Poga Tadej,Vauquelin Kévin,Martinez Lenny,
Poga Tadej,Poga Tadej,Poga Tadej,Evenepoel Remco,,
Poel Mathieu,Milan Jonathan,Wellens Tim,Evenepoel Remco,Healy Ben,
Poga Tadej,Poga Tadej,Wellens Tim,Evenepoel Remco,Costiou Ewen,
Poga Tadej,Milan Jonathan,Wellens Tim,Evenepoel Remco,Burgaudeau Mathieu,Vercher Mattéo
Poga Tadej,Milan Jonathan,Wellens Tim,Evenepoel Remco,Rickaert Jonas,
Healy Ben,Milan Jonathan,Martinez Lenny,Healy Ben,Healy Ben,
Healy Ben,Milan Jonathan,Martinez Lenny,Healy Ben,Abrahamsen Jonas,
Poga Tadej,Milan Jonathan,Poga Tadej,Evenepoel Remco,Armirail Bruno,
Poga Tadej,Milan Jonathan,Poga Tadej,Evenepoel Remco,,
Poga Tadej,Milan Jonathan,Martinez Lenny,Lipowitz Florian,Martinez Lenny,
Poga Tadej,Milan Jonathan,Martinez Lenny,Lipowitz Florian,Storer Michael,
Poga Tadej,Milan Jonathan,Poga Tadej,Lipowitz Florian,Healy Ben,
Poga Tadej,Milan Jonathan,Poga Tadej,Lipowitz Florian,Pacher Quentin,
Poga Tadej,Milan Jonathan,Poga Tadej,Lipowitz Florian,Connor Ben,
Poga Tadej,Milan Jonathan,Poga Tadej,Lipowitz Florian,Arensman Thymen,
Poga Tadej,Milan Jonathan,Poga Tadej,Lipowitz Florian,Sweeny Harry,
Poga Tadej,Milan Jonathan,Poga Tadej,Lipowitz Florian,,
