Rider,poids
Philipsen Jasper,16
Groves Kaden,14
Poel Mathieu,14
Rickaert Jonas,4
Meurisse Xandro,6
Vermeersch Gianni,8
Verstrynge Emiel,4
Dillier Silvan,4
Vauquelin Kévin,10
Capiot Amaury,7
Démare Arnaud,10
Venturini Clément,6
Le Berre Mathis,5
Rodr Cristi,7
Garc Pierna Ra,5
Costiou Ewen,6
Stannard Robert,5
Bauhaus Phil,12
Buitrago Santiago,12
Haig Jack,8
Wright Fred,7
Mohori Matej,9
Gradek Kamil,4
Martinez Lenny,12
Touzé Damien,4
Coquard Bryan,10
Buchmann Emanuel,8
Renard Alexis,6
Aranburu Alex,8
Teuns Dylan,8
Izagirre Ion,8
Thomas Benjamin,6
Berthet Clément,5
Paret- Peintre Aurélien,8
Naesen Oliver,6
Gall Felix,12
Tronchon Bastien,5
Scotson Callum,3
Armirail Bruno,7
Bissegger Stefan,7
Sweeny Harry,4
Asgreen Kasper,9
Powless Neilson,10
Healy Ben,11
Valgren Michael,6
Albanese Vincenzo,5
Baudin Alex,4
Berg Marijn,9
Russo Clément,6
Penho Paul,7
Barthe Cyril,5
Madouas Valentin,10
Martin Guillaume,10
Pacher Quentin,6
Grégoire Romain,10
Askey Lewis,7
Watson Samuel,7
Rodr Carlos,15
Swift Connor,5
Thomas Geraint,10
Foss Tobias,8
Arensman Thymen,13
Laurance Axel,10
Ganna Filippo,12
Girmay Biniam,14
Page Hugo,7
Braet Vito,6
Rutsch Jonas,5
Zimmermann Georg,6
Rex Laurenz,7
Sintmaartensdijk Roel,3
Barré Louis,7
Neilands Krists,7
Ackermann Pascal,10
Blackmore Joseph,9
Boivin Guillaume,4
Louvel Matis,4
Stewart Jake,5
Lutsenko Alexey,9
Woods Michael,9
Stuyven Jasper,9
Milan Jonathan,14
Skjelmose Mattias,12
Skuji Toms,7
Theuns Edward,4
Consonni Simone,6
Simmons Quinn,4
Nys Thibau,11
De Lie Arnaud,11
De Buyst Jasper,4
Van Eetvelt Lennert,11
Berckmoes Jenno,6
Van Moer Brent,6
Drizners Jarrad,3
Grignard Sébastien,3
Sep Eduardo,4
Garc Cortina Iv,7
Mas Enric,12
Oliveira Nelson,5
Mühlberger Gregor,4
Rubio Einer,7
Castrillo Pablo,9
Romeo Iv,5
Barta Will,4
Meeus Jordi,11
Poppel Danny,7
Lipowitz Florian,11
Rogli Primo,16
Vlasov Aleksandr,12
Pithie Laurence,7
Moscon Gianni,6
Dijke Mick,4
Merlier Tim,16
Evenepoel Remco,18
Van Wilder Ilan,9
Eenkhoorn Pascal,3
Van Lerberghe Bert,4
Cattaneo Mattia,7
Paret- Peintre Valentin,9
Schachmann Maximilian,7
Mezgec Luka,7
Groenewegen Dylan,13
Reinders Elmar,3
Dunbar Eddie,10
Connor Ben,13
Schmid Mauro,7
Durbridge Luke,5
Plapp Luke,7
Märkl Niklas,3
Bittner Pavel,8
Andresen Tobias Lund,3
Onley Oscar,8
Flynn Sean,3
Barguil Warren,8
Broek Frank,6
Naberman Tim,3
Turgis Anthony,7
Jegat Jordan,6
Gachignard Thomas,4
Cras Steff,9
Delettre Alexandre,5
Jeannière Emilien,7
Burgaudeau Mathieu,6
Vercher Mattéo,5
Jorgenson Matteo,14
Vingegaard Jonas,19
Benoot Tiesj,8
Affini Edoardo,5
Aert Wout,13
Campenaerts Victor,8
Kuss Sepp,13
Yates Simon,13
Trentin Matteo,8
Mayrhofer Marius,3
Haller Marco,6
Dainese Alberto,9
Lienhard Fabian,3
Hirschi Marc,10
Storer Michael,10
Alaphilippe Julian,10
Poga Tadej,20
Wellens Tim,9
Almeida Jo,15
Narv Jhonatan,9
Soler Marc,8
Politt Nils,7
Sivakov Pavel,7
Yates Adam,14
Wærenskjold Søren,9
Fredheim Stian,7
Johannessen Tobias Halland,8
Abrahamsen Jonas,7
Hoelgaard Markus,6
Cort Magnus,10
Leknessund Andreas,6
Johannessen Anders Halland,6
Teunissen Mike,7
Ballerini Davide,7
Tejada Harold,8
Higuita Sergio,6
Champoussin Clément,8
Velasco Simone,6
Fedorov Yevgeniy,6
Bol Cees,8
