# Matrice de poids aléatoires pour grille 50x50 avec P=100 obstacles
# Poids générés aléatoirement entre 0 et 1000
# Les obstacles sont indiqués par [poids]

Format: Ligne,Colonne,Est_Obstacle,Poids
--------------------------------------------------
0,0,0,550
0,1,0,538
0,2,0,238
0,3,0,877
0,4,0,374
0,5,0,875
0,6,0,941
0,7,0,395
0,8,0,124
0,9,0,473
0,10,0,487
0,11,0,96
0,12,0,907
0,13,0,738
0,14,0,483
0,15,0,199
0,16,0,508
0,17,0,950
0,18,0,917
0,19,0,586
0,20,0,615
0,21,0,963
0,22,0,898
0,23,0,979
0,24,0,90
0,25,0,922
0,26,0,295
0,27,0,811
0,28,0,915
0,29,0,743
0,30,0,714
0,31,0,718
0,32,1,35
0,33,1,2
0,34,0,240
0,35,0,206
0,36,0,793
0,37,0,615
0,38,0,232
0,39,0,579
0,40,0,492
0,41,0,717
0,42,0,430
0,43,0,742
0,44,0,861
0,45,0,493
0,46,0,436
0,47,0,636
0,48,0,571
0,49,0,433
1,0,0,993
1,1,0,215
1,2,0,142
1,3,0,448
1,4,0,472
1,5,0,691
1,6,0,351
1,7,0,565
1,8,1,26
1,9,0,921
1,10,0,667
1,11,0,268
1,12,0,446
1,13,0,924
1,14,0,895
1,15,0,128
1,16,0,796
1,17,0,772
1,18,0,144
1,19,0,142
1,20,0,856
1,21,0,275
1,22,0,480
1,23,0,895
1,24,0,409
1,25,0,429
1,26,0,146
1,27,0,343
1,28,0,434
1,29,0,460
1,30,0,267
1,31,0,201
1,32,0,346
1,33,0,755
1,34,0,455
1,35,0,578
1,36,0,145
1,37,0,76
1,38,0,530
1,39,0,532
1,40,0,51
1,41,0,902
1,42,0,444
1,43,0,727
1,44,0,646
1,45,0,283
1,46,0,687
1,47,0,148
1,48,0,603
1,49,0,398
2,0,0,631
2,1,0,873
2,2,0,679
2,3,0,410
2,4,0,701
2,5,0,530
2,6,0,579
2,7,0,75
2,8,0,946
2,9,0,918
2,10,0,307
2,11,0,150
2,12,0,249
2,13,0,448
2,14,1,37
2,15,1,48
2,16,0,752
2,17,0,984
2,18,0,248
2,19,0,292
2,20,0,736
2,21,0,709
2,22,0,712
2,23,0,549
2,24,0,939
2,25,0,666
2,26,0,521
2,27,0,175
2,28,0,322
2,29,0,680
2,30,0,769
2,31,0,779
2,32,0,517
2,33,0,769
2,34,0,663
2,35,0,706
2,36,0,421
2,37,0,910
2,38,0,553
2,39,0,481
2,40,0,639
2,41,0,224
2,42,0,422
2,43,0,144
2,44,0,498
2,45,0,701
2,46,0,660
2,47,0,168
2,48,0,208
2,49,0,668
3,0,0,713
3,1,0,250
3,2,0,870
3,3,0,662
3,4,0,447
3,5,0,606
3,6,0,160
3,7,0,328
3,8,0,448
3,9,0,479
3,10,0,69
3,11,0,609
3,12,0,452
3,13,0,518
3,14,0,827
3,15,1,30
3,16,0,881
3,17,0,462
3,18,0,422
3,19,0,974
3,20,0,663
3,21,0,337
3,22,0,719
3,23,0,606
3,24,0,300
3,25,0,70
3,26,0,490
3,27,0,502
3,28,0,146
3,29,1,3
3,30,0,770
3,31,0,182
3,32,1,36
3,33,0,604
3,34,0,406
3,35,0,261
3,36,0,429
3,37,0,657
3,38,0,177
3,39,0,192
3,40,0,564
3,41,0,239
3,42,0,462
3,43,0,43
3,44,0,421
3,45,0,326
3,46,0,841
3,47,0,376
3,48,1,19
3,49,0,173
4,0,0,473
4,1,0,113
4,2,0,1
4,3,0,43
4,4,0,119
4,5,0,198
4,6,0,976
4,7,0,606
4,8,0,727
4,9,0,222
4,10,0,256
4,11,0,746
4,12,0,259
4,13,0,934
4,14,0,728
4,15,0,907
4,16,0,581
4,17,0,47
4,18,0,571
4,19,0,429
4,20,0,712
4,21,0,955
4,22,0,977
4,23,0,283
4,24,0,968
4,25,0,321
4,26,0,674
4,27,0,509
4,28,0,619
4,29,0,504
4,30,0,232
4,31,0,390
4,32,0,22
4,33,0,104
4,34,0,967
4,35,0,867
4,36,1,12
4,37,1,61
4,38,1,1
4,39,0,346
4,40,0,278
4,41,0,764
4,42,0,489
4,43,1,7
4,44,0,737
